unit,sex,age,region,year,value
YR,F,Y_LT1,PT,2021,84.3
YR,F,Y14,PT,2020,70.4
YR,M,Y52,PT,2020,28.1
YR,T,Y56,PT,2020,27.4
YR,M,Y47,PT,2020,32.6
YR,M,Y44,PT,2020,35.3
YR,F,Y50,PT,2020,35.2
YR,M,Y60,PT,2020,21.6
YR,M,Y48,PT,2020,31.7
YR,T,Y32,PT,2020,49.8
YR,M,Y26,PT,2020,52.5
YR,F,Y80,PT,2020,9.6
YR,M,Y17,PT,2020,61.3
YR,F,Y4,PT,2020,80.3
YR,M,Y63,PT,2020,19.3
YR,F,Y79,PT,2020,10.3
YR,T,Y17,PT,2020,64.5
YR,F,Y72,PT,2020,15.6
YR,T,Y71,PT,2020,15.1
YR,F,Y_LT1,PT,2020,84.1
YR,T,Y7,PT,2020,74.4
YR,F,Y14,PT,2019,71.1
YR,M,Y52,PT,2019,28.9
YR,T,Y56,PT,2019,28.1
YR,M,Y47,PT,2019,33.3
YR,M,Y44,PT,2019,36.1
YR,F,Y50,PT,2019,36.0
YR,M,Y60,PT,2019,22.2
YR,M,Y48,PT,2019,32.4
YR,T,Y32,PT,2019,50.6
YR,M,Y26,PT,2019,53.3
YR,F,Y80,PT,2019,10.2
YR,M,Y17,PT,2019,62.1
YR,F,Y4,PT,2019,81.1
YR,M,Y63,PT,2019,19.9
YR,F,Y79,PT,2019,10.9
YR,T,Y17,PT,2019,65.2
YR,F,Y72,PT,2019,16.3
YR,T,Y71,PT,2019,15.8
YR,F,Y_LT1,PT,2019,84.8
YR,T,Y7,PT,2019,75.2
YR,F,Y14,PT,2018,70.9
YR,M,Y52,PT,2018,28.6
YR,T,Y56,PT,2018,27.8
YR,M,Y47,PT,2018,33.0
YR,M,Y44,PT,2018,35.7
YR,F,Y50,PT,2018,35.7
YR,M,Y60,PT,2018,22.0
YR,M,Y48,PT,2018,32.1
YR,T,Y32,PT,2018,50.2
YR,M,Y26,PT,2018,53.0
YR,F,Y80,PT,2018,10.0
YR,M,Y17,PT,2018,61.7
YR,F,Y4,PT,2018,80.8
YR,M,Y63,PT,2018,19.7
YR,F,Y79,PT,2018,10.7
YR,T,Y17,PT,2018,64.9
YR,F,Y72,PT,2018,16.0
YR,T,Y71,PT,2018,15.5
YR,F,Y_LT1,PT,2018,84.5
YR,T,Y7,PT,2018,74.8
YR,F,Y14,PT,2017,70.9
YR,M,Y52,PT,2017,28.7
YR,T,Y56,PT,2017,27.9
YR,M,Y47,PT,2017,33.0
YR,M,Y44,PT,2017,35.8
YR,F,Y50,PT,2017,35.7
YR,M,Y60,PT,2017,22.1
YR,M,Y48,PT,2017,32.1
YR,T,Y32,PT,2017,50.3
YR,M,Y26,PT,2017,53.0
YR,F,Y80,PT,2017,10.1
YR,M,Y17,PT,2017,61.8
YR,F,Y4,PT,2017,80.8
YR,M,Y63,PT,2017,19.8
YR,F,Y79,PT,2017,10.8
YR,T,Y17,PT,2017,64.9
YR,F,Y72,PT,2017,16.1
